segment_dur_uttr,c_type_f,speakerSegtype,languageSegtype,segment_type_o,language,language_f,speaker_f,dur,ul,ll,model
0.07544479112554095,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.07562986019062952,0.07730117263730482,0.07395854774395422,cv_mod_baseline
0.07653678210678194,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.07653144403011886,0.07820193687644567,0.07486095118379205,cv_mod_baseline
0.07762877308802292,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.07742574535423896,0.0790946473253501,0.07575684338312783,cv_mod_baseline
0.0787207640692639,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.07831540944343111,0.07998240154304465,0.07664841734381758,cv_mod_baseline
0.07981275505050488,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.0792030020133177,0.08086861668821134,0.07753738733842407,cv_mod_baseline
0.08090474603174586,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.08009087179529084,0.08175655926005385,0.07842518433052784,cv_mod_baseline
0.08199673701298683,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.08098103750122893,0.08264887478804701,0.07931320021441084,cv_mod_baseline
0.08308872799422781,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.08187512290817697,0.0835473477909383,0.08020289802541565,cv_mod_baseline
0.08418071897546879,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.08277431220282958,0.08445279183917564,0.0810958325664835,cv_mod_baseline
0.08527270995670977,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.0836792563163455,0.08536505462703778,0.08199345800565322,cv_mod_baseline
