vowel_length_contrast,language,phone_dur_uttr,model,syll_pos,derivative_cs,derivative_cl,eff_size,phone_dur_cs,phone_dur_cl,derivative_nc,phone_dur_nc
unrestricted,Evenki,0.081155172413793,vln_mod_mono_height,nonfinal,1.125776391838862,1.1727947808783945,0.04701838903953259,0.07108651692460925,0.12114753420978197,NA,NA
unrestricted,Evenki,0.081155172413793,vln_mod_mono_height,final,1.125776391838862,1.1727947808783945,0.04701838903953259,0.07108651692460925,0.12114753420978197,NA,NA
restricted,Mojeno_Trinitario,0.0928888888888894,vln_mod_mono_height,nonfinal,1.2727920821760108,1.2461605857874147,-0.026631496388596076,0.09010266779433107,0.148907965686258,NA,NA
restricted,Kamas,0.11083333333333864,vln_mod_mono_height,final,NA,NA,NA,NA,NA,1.3373920969432795,0.10815156170206024
none,Urum,0.0753921568627451,vln_mod_mono_height,nonfinal,NA,NA,NA,NA,NA,1.2908528833746047,0.08284810503741175
none,Urum,0.0753921568627451,vln_mod_mono_height,final,NA,NA,NA,NA,NA,1.2908528833746047,0.08284810503741175
none,Yali,0.05786206896551715,vln_mod_mono_height,nonfinal,NA,NA,NA,NA,NA,1.2196733829168416,0.061712049225778956
none,Yali,0.05786206896551715,vln_mod_mono_height,final,NA,NA,NA,NA,NA,1.2196733829168416,0.061712049225778956
none,Yongning_Na,0.08989743589743518,vln_mod_mono_height,nonfinal,NA,NA,NA,NA,NA,1.2007164619847188,0.0949206502982781
none,Yongning_Na,0.08989743589743518,vln_mod_mono_height,final,NA,NA,NA,NA,NA,1.2007164619847188,0.0949206502982781
none,Dalabon,0.06889473684210363,vln_mod_mono_height,nonfinal,NA,NA,NA,NA,NA,1.1917966753465237,0.07587970397241402
none,Dalabon,0.06889473684210363,vln_mod_mono_height,final,NA,NA,NA,NA,NA,1.1917966753465237,0.07587970397241402
none,Gurindji,0.0702000000000074,vln_mod_mono_height,nonfinal,NA,NA,NA,NA,NA,1.1337051431405953,0.07891215115285215
none,Gurindji,0.0702000000000074,vln_mod_mono_height,final,NA,NA,NA,NA,NA,1.1337051431405953,0.07891215115285215
none,Jejuan,0.07049152542372868,vln_mod_mono_height,nonfinal,NA,NA,NA,NA,NA,1.1014872668901887,0.07234083253134266
none,Jejuan,0.07049152542372868,vln_mod_mono_height,final,NA,NA,NA,NA,NA,1.1014872668901887,0.07234083253134266
none,Sanzhi_Dargwa,0.08172131147540972,vln_mod_mono_height,nonfinal,NA,NA,NA,NA,NA,1.0923847502684048,0.080098247644705
none,Sanzhi_Dargwa,0.08172131147540972,vln_mod_mono_height,final,NA,NA,NA,NA,NA,1.0923847502684048,0.080098247644705
none,Nuu,0.0890909090909088,vln_mod_mono_height,nonfinal,NA,NA,NA,NA,NA,1.0868095541232137,0.09278900061807917
none,Nuu,0.0890909090909088,vln_mod_mono_height,final,NA,NA,NA,NA,NA,1.0868095541232137,0.09278900061807917
none,English,0.0808645833333325,vln_mod_mono_height,nonfinal,NA,NA,NA,NA,NA,1.0864020750478431,0.09529256174498779
none,English,0.0808645833333325,vln_mod_mono_height,final,NA,NA,NA,NA,NA,1.0864020750478431,0.09529256174498779
none,Sadu,0.09033333333333313,vln_mod_mono_height,nonfinal,NA,NA,NA,NA,NA,1.0777680581832705,0.09976152236736134
none,Sadu,0.09033333333333313,vln_mod_mono_height,final,NA,NA,NA,NA,NA,1.0777680581832705,0.09976152236736134
restricted,Ruuli,0.0696545454545437,vln_mod_mono_height,final,NA,NA,NA,NA,NA,1.073445617809643,0.07475761399731971
none,Lower_Sorbian,0.09714705882353045,vln_mod_mono_height,nonfinal,NA,NA,NA,NA,NA,1.025248412120039,0.10550508736704906
none,Lower_Sorbian,0.09714705882353045,vln_mod_mono_height,final,NA,NA,NA,NA,NA,1.025248412120039,0.10550508736704906
restricted,Mojeno_Trinitario,0.0928888888888894,vln_mod_mono_height,final,NA,NA,NA,NA,NA,1.0225894163657934,0.09496508477473128
none,Veraa,0.06339999999999986,vln_mod_mono_height,nonfinal,NA,NA,NA,NA,NA,1.0169286541721334,0.06783094958686861
none,Veraa,0.06339999999999986,vln_mod_mono_height,final,NA,NA,NA,NA,NA,1.0169286541721334,0.06783094958686861
unrestricted,Gubeeher,0.06458333333333262,vln_mod_mono_pos,final,0.824029441820695,1.160012814527711,0.33598337270701606,0.06878351663681843,0.10410576351704086,NA,NA
unrestricted,Gubeeher,0.06458333333333262,vln_mod_mono_pos,nonfinal,1.07843887961101,1.3415880909546374,0.26314921134362734,0.06344868742114777,0.09877093430137017,NA,NA
unrestricted,Bora,0.08342857142856917,vln_mod_mono_pos,nonfinal,0.8282902602636533,0.9864154118903734,0.15812515162672014,0.07299137406477756,0.12481446295730111,NA,NA
restricted,Ruuli,0.0696545454545437,vln_mod_mono_pos,nonfinal,1.2478036732201936,1.3878918113565675,0.14008813813637389,0.068784506736748,0.10901357885827348,NA,NA
unrestricted,Arapaho,0.08819999999999709,vln_mod_mono_pos,nonfinal,0.8104626754992239,0.9444445159723092,0.13398184047308526,0.08845729879524351,0.1437940830276633,NA,NA
unrestricted,Beja,0.07982608695652167,vln_mod_mono_pos,nonfinal,0.9840189624470419,1.1038107811871534,0.11979181874011147,0.07438422452314881,0.1234369520331776,NA,NA
unrestricted,Dolgan,0.07919444444444441,vln_mod_mono_pos,nonfinal,1.013160167582683,1.1296579647144256,0.11649779713174269,0.07205673089865582,0.12060781802137036,NA,NA
restricted,Kamas,0.11083333333333864,vln_mod_mono_pos,nonfinal,1.4129093369898982,1.5283084129664726,0.1153990759765744,0.10878612379555823,0.18477165242162222,NA,NA
unrestricted,Dolgan,0.07919444444444441,vln_mod_mono_pos,final,1.027744360356575,1.135059355940271,0.10731499558369606,0.07577882921376117,0.12432991633647572,NA,NA
