language,phone_dur_uttr_med,phone_dur_uttr,density,model,derivative_c,derivative_v,delta_deriv,phone_dur_v,phone_dur_c,derivative_v_w,derivative_c_w,delta_deriv_w,phone_dur_v_w,phone_dur_c_w
Arapaho,0.08819999999999709,0.139693841827364,0.0019870101342941613,cv_mod_baseline,0.9706838253662475,0.9535729004386262,-0.01711092492762134,0.1708091926088827,0.11371240891071699,0.0018947590169598276,0.0019287585981981577,-3.399958123833019e-5,3.3939959674445327e-4,2.2594770890059634e-4
Arapaho,0.08819999999999709,0.141040633608815,4.3421333063454e-4,cv_mod_baseline,0.9757225386457513,0.948660481128849,-0.02706205751690227,0.17237529620811792,0.11477899242011821,4.1192102715232275e-4,4.236717332805604e-4,-1.1750706128237624e-5,7.484765148564227e-5,4.983856858561615e-5
Arapaho,0.08819999999999709,0.142387425390266,3.3406073403080704e-5,cv_mod_baseline,0.9821853687199678,0.9428990156574724,-0.039286353062495394,0.17393151465727813,0.11585192623557919,3.1498553728746065e-5,3.281095652289113e-5,-1.3124027941450655e-6,5.810368945750041e-6,3.87015795171405e-6
Arapaho,0.08819999999999709,0.143734217171717,8.683904816680895e-7,cv_mod_baseline,0.9913774911236573,0.935228349157935,-0.05614914196572229,0.17547577010401347,0.11693333679477923,8.121433965949114e-7,8.609027770317749e-7,-4.875938043686352e-8,1.523814885217032e-7,1.0154379666227526e-7
Arapaho,0.08819999999999709,0.145081008953167,7.709475041969936e-9,cv_mod_baseline,0.9961414686423531,0.9310599769811745,-0.0650814916611786,0.1770102896216703,0.11802149552754562,7.177983655113467e-9,7.679727790769499e-9,-5.017441356560309e-10,1.3646564100101372e-9,9.098837741855793e-10
Arapaho,0.08819999999999709,0.146427800734618,2.8004327063981468e-11,cv_mod_baseline,1.0016900273677187,0.9263828612069425,-0.07530716616077626,0.17853498009421884,0.11911667092607384,2.5942728631706167e-11,2.8051655143134142e-11,-2.108926511427976e-12,4.999751974919925e-12,3.335782211386424e-12
Arapaho,0.08819999999999709,0.147774592516069,3.304471402671668e-14,cv_mod_baseline,1.006175603038173,0.9225844672300365,-0.08359113580813649,0.18005254866276127,0.1202165848636862,3.048653988510732e-14,3.324878506305563e-14,-2.762245177948307e-15,5.949784980342435e-15,3.9725226680890275e-15
Arapaho,0.08819999999999709,0.14912138429752,1.4627554566732012e-16,cv_mod_baseline,1.0111634037341943,0.9185001761251588,-0.09266322760903556,0.18156277408390872,0.12132157547147014,1.3435411445823723e-16,1.4790847864004398e-16,-1.3554364181806759e-17,2.6558193851996115e-17,1.7746379653308254e-17
Arapaho,0.08819999999999709,0.150468176078971,1.0786844868611458e-16,cv_mod_baseline,1.013928518256435,0.9161101023740237,-0.09781841588241136,0.1830659576081055,0.12243150104712383,9.881937556876355e-17,1.0937089634293245e-16,-1.0551520774168905e-17,1.9747040854424356e-17,1.320649608826566e-17
Arapaho,0.08819999999999709,0.151814967860422,1.5858149409588117e-16,cv_mod_baseline,1.0165480097854562,0.9139200597783059,-0.1026279500071503,0.1845646561158812,0.1235441491184882,1.4493080856384078e-16,1.6120570221197209e-16,-1.6274893648131295e-17,2.926853892414895e-17,1.95918157540142e-17
Arapaho,0.08819999999999709,0.153161759641873,2.79049693702703e-17,cv_mod_baseline,1.0172737796887432,0.9131571468730115,-0.10411663281573169,0.18605964179941425,0.1246589389071043,2.5481622213734803e-17,2.838699366339347e-17,-2.9053714496586722e-18,5.191988605456118e-18,3.478603871933142e-18
Arapaho,0.08819999999999709,0.154508551423324,4.47507512052238e-17,cv_mod_baseline,1.0171403844521087,0.9130537391213167,-0.10408664533079204,0.1875529776206846,0.1257740495923966,4.085984071641736e-17,4.5517796285402e-17,-4.657955568984644e-18,8.393136639302163e-18,5.6284832013828204e-18
