language,phone_dur_uttr_med,model.x,density_area,derivative_v_w_area,derivative_c_w_area,delta_deriv_w_area,phone_dur_v_w_area,phone_dur_c_w_area,eff_size_dw,derivative_v_dw,derivative_c_dw,phone_dur_v_dw,phone_dur_c_dw,phone_dur_uttr,model.y,derivative_c,derivative_v,eff_size_med,phone_dur_v,phone_dur_c
Dolgan,0.07919444444444441,cv_mod_baseline,18.474397457516766,21.340204923684773,16.049901766234278,5.290303157450503,1.4942287485245442,1.4556693276397132,0.2863586306192634,1.155123189958327,0.868764559339064,0.0808810545491745,0.07879387303359321,0.07919444444444441,cv_mod_baseline,0.8674067952467723,1.1560670548331764,0.28866025958640407,0.08019619930000724,0.07835353817697804
Yali,0.05786206896551715,cv_mod_baseline,16.14648635917363,18.25452665615802,13.703826611876764,4.550700044281258,1.0426049075177835,0.8842897151670946,0.2818384101068389,1.130557215365107,0.848718805258268,0.06457162780343398,0.05476669632614437,0.05786206896551715,cv_mod_baseline,0.8324741333454178,1.1410239848808068,0.30854985153538905,0.06272032204518553,0.05363648837310116
Sadu,0.09033333333333313,cv_mod_baseline,29.046606613330443,32.72169808874798,24.62420695617156,8.097491132576403,2.9781609180354156,2.3614243549855534,0.2787758047048497,1.1265239524995294,0.8477481477946791,0.10253042490232368,0.08129777038746475,0.09033333333333313,cv_mod_baseline,0.8430586020002906,1.1236764527438048,0.2806178507435142,0.10067526909696832,0.0800076808204563
Lower_Sorbian,0.09714705882353045,cv_mod_baseline,33.03602596773851,37.33345782434857,28.534906419362255,8.79855140498633,3.5397935725571714,2.943334162445116,0.2663320162533653,1.1300831964718376,0.8637511802184729,0.10714949721900491,0.08909468001143489,0.09714705882353045,cv_mod_baseline,0.8514905094716418,1.1468161891596829,0.295325679688041,0.10755064661945639,0.08943726425429568
Bora,0.08342857142856917,cv_mod_baseline,29.97359911749276,34.19123527212387,26.249666850865395,7.941568421258466,2.438959186187215,2.5488475006795217,0.2649521130288195,1.1407117022583275,0.8757595892295077,0.08137024775125604,0.08503641790524916,0.08342857142856917,cv_mod_baseline,0.9083915065781767,1.102423910413819,0.19403240383564224,0.08244754568793236,0.08465033142927814
Resigaro,0.09364285714285696,cv_mod_baseline,29.504830863911792,33.6039033019989,25.970528053014387,7.63337524898453,2.7376384408406667,2.8228455427896937,0.2587161161571386,1.1389288573452152,0.8802127411880774,0.09278610860261365,0.09567401202229556,0.09364285714285696,cv_mod_baseline,0.8318178456239167,1.1844507818135064,0.3526329361895897,0.09235939230284428,0.09504839852637104
Gubeeher,0.06458333333333262,cv_mod_baseline,18.52383354380577,20.80878320661472,16.132510999996438,4.67627220661829,1.313303597271522,1.1415057351356317,0.2524462442161169,1.1233518784006251,0.8709056341845085,0.07089804570775149,0.061623623017134185,0.06458333333333262,cv_mod_baseline,0.8965445746724754,1.0974197359736593,0.20087516130118388,0.06917173634747907,0.0605568792191934
Arapaho,0.08819999999999709,cv_mod_baseline,21.012055908053643,23.12926927040568,17.985643389305498,5.143625881100177,2.266469070958332,1.5599089331935392,0.24479403175053865,1.1007618374716268,0.8559678057210879,0.10786517420647183,0.07423875797873004,0.08819999999999709,cv_mod_baseline,0.8641726580695952,1.1014163841429614,0.2372437260733662,0.10711037983612395,0.07379543882121421
Gurindji,0.0702000000000074,cv_mod_baseline,18.83293767864705,20.883382829039288,16.341110358508878,4.542272470530424,1.5623567335961077,1.1399456213600947,0.24118767597688665,1.108875481105481,0.8676878051285952,0.08295873751908188,0.06052935770358201,0.0702000000000074,cv_mod_baseline,0.8318256128698742,1.144096120048843,0.31227050717896887,0.08189504900023487,0.0603766909075649
Svan,0.07960784313725494,cv_mod_baseline,25.145783247681685,27.936763368325085,22.02553655290257,5.911226815422511,2.3758707459590283,1.795508328755732,0.2350782537651714,1.1109919740082352,0.8759137202430636,0.09448386326077442,0.07140395314277072,0.07960784313725494,cv_mod_baseline,0.8953103620759073,1.0925631129912183,0.19725275091531103,0.09293909716795162,0.07031082758712806
