phone_dur_uttr,vht,syll_pos,speaker,language,vlcLn,vlcLn_o,vht_o,syll_pos_o,language_f,speaker_f,dur,ul,ll,model
0.13026629935720774,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.13876925279247615,0.14267342571286987,0.13486507987208243,vln_mod_mono_baseline
0.1316130911386586,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.140202910417851,0.1441501985549074,0.13625562228079457,vln_mod_mono_baseline
0.1329598829201095,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.14163656427085608,0.14562790500888384,0.13764522353282832,vln_mod_mono_baseline
0.13430667470156038,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.14307021411747284,0.14710651544337427,0.1390339127915714,vln_mod_mono_baseline
0.13565346648301127,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.14450385972368263,0.14858600049012333,0.14042171895724193,vln_mod_mono_baseline
0.13700025826446216,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.14593750085546686,0.15006633109816855,0.14180867061276517,vln_mod_mono_baseline
0.13834705004591302,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.14737113728304613,0.1515474786427864,0.14319479592330586,vln_mod_mono_baseline
0.13969384182736394,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.14880476894806208,0.15302941567898656,0.1445801222171376,vln_mod_mono_baseline
0.1410406336088148,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.1502383960187451,0.15451211643854773,0.1459646755989425,vln_mod_mono_baseline
0.1423874253902657,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.1516720186788686,0.1559955561840986,0.14734848117363858,vln_mod_mono_baseline
0.14373421717171658,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.15310563711220582,0.15747971111030243,0.1487315631141092,vln_mod_mono_baseline
0.14508100895316745,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.15453925150253006,0.15896455829647754,0.15011394470858258,vln_mod_mono_baseline
