language,syll_pos,eff_size_dw,derivative_cs_dw,derivative_cl_dw,derivative_nc_dw,phone_dur_cl_dw,phone_dur_cs_dw,phone_dur_nc_dw,vowel_length_contrast,phone_dur_uttr,model,derivative_cs,derivative_cl,eff_size_med,phone_dur_cs,phone_dur_cl,derivative_nc,phone_dur_nc
Fanbyak,final,0.13968796674299433,1.0121194860269753,1.1518074527699698,NA,0.13309242309770292,0.08444315064662433,NA,unrestricted,0.0784722222222223,vln_mod_mono_full,1.1125240148945892,1.1862870504755207,0.07376303558093156,0.0837894754370247,0.13182063856365664,NA,NA
Dolgan,nonfinal,0.1344258099109658,1.0403190069140813,1.1747448168250472,NA,0.12226303236525721,0.07400549393639533,NA,unrestricted,0.07919444444444441,vln_mod_mono_full,1.065208255914385,1.1600457755767124,0.09483751966232745,0.07104570419002158,0.11965532773028671,NA,NA
Dolgan,final,0.1344258099109658,1.0403190069140813,1.1747448168250472,NA,0.12226303236525721,0.07400549393639533,NA,unrestricted,0.07919444444444441,vln_mod_mono_full,1.089623286149699,1.1720360930040918,0.08241280685439278,0.07468440641314221,0.12329402995340737,NA,NA
Ruuli,nonfinal,0.13320030860381935,1.2004255788969405,1.33362588750076,NA,0.11127609735888434,0.07070561752569335,NA,restricted,0.0696545454545437,vln_mod_mono_full,1.273481154255407,1.3800322971051493,0.10655114284974232,0.06778990672296814,0.10826647704367232,NA,NA
Evenki,nonfinal,0.12231580068191412,1.0516207503378898,1.1739365510198034,NA,0.12336740211872567,0.07303564457812582,NA,unrestricted,0.081155172413793,vln_mod_mono_full,1.0906579321834364,1.1615513779719144,0.070893445788478,0.06970772245315886,0.11986161911702296,NA,NA
Evenki,final,0.12231580068191412,1.0516207503378898,1.1739365510198034,NA,0.12336740211872567,0.07303564457812582,NA,unrestricted,0.081155172413793,vln_mod_mono_full,1.1750325512913662,1.2095169926062965,0.034484441314930336,0.0735449820188339,0.12369887868269806,NA,NA
Movima,nonfinal,0.11816868523919218,1.0894896927168327,1.2076583779560246,NA,0.12526461321207238,0.07755578513724135,NA,unrestricted,0.07758620689654977,vln_mod_mono_full,1.1520018893955708,1.2239762285410904,0.07197433914551965,0.07403077209087687,0.12134434679112481,NA,NA
Movima,final,0.11816868523919218,1.0894896927168327,1.2076583779560246,NA,0.12526461321207238,0.07755578513724135,NA,unrestricted,0.07758620689654977,vln_mod_mono_full,1.1136712624941758,1.1981085641314948,0.084437301637319,0.07759846277509104,0.12491203747533902,NA,NA
Kamas,nonfinal,0.11694203341385448,1.2720064925187653,1.3889485259326195,NA,0.18730176680945032,0.11009521109172875,NA,restricted,0.11083333333333864,vln_mod_mono_full,1.198508882106708,1.4529829449849707,0.2544740628782627,0.10364004620873384,0.18091364766037946,NA,NA
Svan,nonfinal,0.10903940424988466,1.1064215086616809,1.2154609129115652,NA,0.1393287899414662,0.09002561291136052,NA,unrestricted,0.07960784313725494,vln_mod_mono_full,1.1065408064756532,1.1727855312493318,0.0662447247736786,0.08647401451589147,0.13541229122830462,NA,NA
Svan,final,0.10903940424988466,1.1064215086616809,1.2154609129115652,NA,0.1393287899414662,0.09002561291136052,NA,unrestricted,0.07960784313725494,vln_mod_mono_full,1.136586839688647,1.1905109152792193,0.05392407559057233,0.09014519623890187,0.13908347295131504,NA,NA
Mojeno_Trinitario,nonfinal,0.05735628755034705,1.1969233322584083,1.2542796198087562,NA,0.15057786081894364,0.09139224969259423,NA,restricted,0.0928888888888894,vln_mod_mono_full,1.2584004645193048,1.238682584704387,-0.019717879814917794,0.08996293545038188,0.14897040002291445,NA,NA
Dalabon,nonfinal,NA,NA,NA,1.1536421863736652,NA,NA,0.07980757243319778,none,0.06889473684210363,vln_mod_mono_full,NA,NA,NA,NA,NA,1.3012118039972265,0.0742814273097141
Dalabon,final,NA,NA,NA,1.1536421863736652,NA,NA,0.07980757243319778,none,0.06889473684210363,vln_mod_mono_full,NA,NA,NA,NA,NA,1.0454957691248268,0.07890079517547359
English,nonfinal,NA,NA,NA,0.9930219395028317,NA,NA,0.09619172879338048,none,0.0808645833333325,vln_mod_mono_full,NA,NA,NA,NA,NA,1.0439168311866531,0.09270665649504069
English,final,NA,NA,NA,0.9930219395028317,NA,NA,0.09619172879338048,none,0.0808645833333325,vln_mod_mono_full,NA,NA,NA,NA,NA,1.1039210886689688,0.09650777081416445
Gurindji,nonfinal,NA,NA,NA,1.0573068301372925,NA,NA,0.0807594373646011,none,0.0702000000000074,vln_mod_mono_full,NA,NA,NA,NA,NA,1.233413349430279,0.07725311601615287
Gurindji,final,NA,NA,NA,1.0573068301372925,NA,NA,0.0807594373646011,none,0.0702000000000074,vln_mod_mono_full,NA,NA,NA,NA,NA,1.0020668013401846,0.08161197810949708
Jejuan,nonfinal,NA,NA,NA,1.1077545749972897,NA,NA,0.07596366908631144,none,0.07049152542372868,vln_mod_mono_full,NA,NA,NA,NA,NA,1.2318867325333827,0.07018120873276926
Jejuan,final,NA,NA,NA,1.1077545749972897,NA,NA,0.07596366908631144,none,0.07049152542372868,vln_mod_mono_full,NA,NA,NA,NA,NA,0.9823716254770964,0.0744845533363845
Kamas,final,NA,NA,NA,1.3600003734236303,NA,NA,0.11495854115879274,restricted,0.11083333333333864,vln_mod_mono_full,NA,NA,NA,NA,NA,1.3310468212450743,0.1073423923190164
Lower_Sorbian,nonfinal,NA,NA,NA,1.1184049768496114,NA,NA,0.10706257824366365,none,0.09714705882353045,vln_mod_mono_full,NA,NA,NA,NA,NA,1.010600817771934,0.1013397549693116
Lower_Sorbian,final,NA,NA,NA,1.1184049768496114,NA,NA,0.10706257824366365,none,0.09714705882353045,vln_mod_mono_full,NA,NA,NA,NA,NA,1.0442408223734212,0.10792686294356582
Mojeno_Trinitario,final,NA,NA,NA,1.068013880021194,NA,NA,0.09602209798850707,restricted,0.0928888888888894,vln_mod_mono_full,NA,NA,NA,NA,NA,1.0586523493230082,0.09506429976757944
Nuu,nonfinal,NA,NA,NA,1.036296332998636,NA,NA,0.09773715582075597,none,0.0890909090909088,vln_mod_mono_full,NA,NA,NA,NA,NA,0.9895992069837156,0.08902358231479425
Nuu,final,NA,NA,NA,1.036296332998636,NA,NA,0.09773715582075597,none,0.0890909090909088,vln_mod_mono_full,NA,NA,NA,NA,NA,1.122604623664536,0.09432595271403604
Ruuli,final,NA,NA,NA,1.058918810691277,NA,NA,0.07710467588816422,restricted,0.0696545454545437,vln_mod_mono_full,NA,NA,NA,NA,NA,0.9963028961710307,0.07472664534140247
Sadu,nonfinal,NA,NA,NA,1.1282677547088646,NA,NA,0.10229049510767906,none,0.09033333333333313,vln_mod_mono_full,NA,NA,NA,NA,NA,0.9925743580474489,0.09535175387996986
Sadu,final,NA,NA,NA,1.1282677547088646,NA,NA,0.10229049510767906,none,0.09033333333333313,vln_mod_mono_full,NA,NA,NA,NA,NA,1.1085504382575273,0.10089670911401706
Sanzhi_Dargwa,nonfinal,NA,NA,NA,1.0306645187565244,NA,NA,0.0776177597644389,none,0.08172131147540972,vln_mod_mono_full,NA,NA,NA,NA,NA,1.0497455322751037,0.07799318146248023
Sanzhi_Dargwa,final,NA,NA,NA,1.0306645187565244,NA,NA,0.0776177597644389,none,0.08172131147540972,vln_mod_mono_full,NA,NA,NA,NA,NA,1.1406602540420252,0.08190676739643168
Urum,nonfinal,NA,NA,NA,1.188975954280526,NA,NA,0.08656357839368817,none,0.0753921568627451,vln_mod_mono_full,NA,NA,NA,NA,NA,1.3429602849157618,0.08149394553048073
Urum,final,NA,NA,NA,1.188975954280526,NA,NA,0.08656357839368817,none,0.0753921568627451,vln_mod_mono_full,NA,NA,NA,NA,NA,1.224076270018415,0.0851243000971334
